Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
90,0.00004000,0.525470,0.445439,0.080031,0.469014,0.559372,0.747877,0.606988,0.548968,0.726686,0.689722,0.678029,0.520596,0.441890,0.078706,0.459323,0.539375,0.776073,0.605273,0.556310,0.719178,0.720857,0.691985,0.394511
91,0.00004000,0.514079,0.435435,0.078643,0.474192,0.559546,0.767398,0.614356,0.556816,0.727801,0.704857,0.687300,0.520655,0.441576,0.079079,0.466983,0.557766,0.758403,0.611512,0.550880,0.734534,0.695823,0.686956,0.399654
92,0.00004000,0.516169,0.437393,0.078775,0.472345,0.553781,0.770812,0.612027,0.558040,0.725726,0.708073,0.687746,0.521315,0.442204,0.079111,0.463575,0.552049,0.765493,0.608350,0.551892,0.727634,0.704813,0.687130,0.401726
93,0.00000800,0.522337,0.442561,0.079777,0.469631,0.559052,0.756197,0.610172,0.552498,0.729327,0.695480,0.683292,0.519907,0.441036,0.078871,0.468448,0.563162,0.757055,0.612587,0.551464,0.740046,0.691454,0.686726,0.411120
94,0.00000800,0.513549,0.435001,0.078548,0.476821,0.565596,0.761585,0.617336,0.559690,0.736423,0.699533,0.689452,0.521195,0.442086,0.079109,0.464618,0.554357,0.762311,0.609222,0.552040,0.729029,0.702815,0.687164,0.407631
95,0.00000800,0.514078,0.435519,0.078559,0.475956,0.567801,0.764184,0.617855,0.556738,0.736079,0.701594,0.688900,0.520132,0.441329,0.078803,0.465850,0.557045,0.761174,0.611078,0.551980,0.735385,0.697491,0.688215,0.406425
96,0.00000800,0.513609,0.435093,0.078516,0.478102,0.565315,0.762411,0.617383,0.558443,0.733582,0.700023,0.688640,0.522567,0.443265,0.079302,0.461985,0.545344,0.765032,0.606371,0.553825,0.724942,0.709715,0.688110,0.403378
97,0.00000800,0.517775,0.438959,0.078816,0.472357,0.562628,0.761625,0.612874,0.555550,0.733788,0.699876,0.686690,0.524432,0.445066,0.079366,0.461292,0.551580,0.759335,0.605716,0.549967,0.731266,0.696977,0.684969,0.404432
98,0.00000800,0.524383,0.444633,0.079751,0.467411,0.553899,0.755204,0.607169,0.551650,0.724682,0.695336,0.681013,0.525509,0.446058,0.079450,0.462433,0.552515,0.754200,0.606801,0.548428,0.734287,0.693567,0.683765,0.404586
99,0.00000800,0.518664,0.439583,0.079081,0.471966,0.557982,0.762134,0.612401,0.555061,0.728876,0.699426,0.685474,0.521939,0.442698,0.079241,0.460944,0.540558,0.770804,0.605260,0.552532,0.717658,0.710303,0.687099,0.398722
100,0.00000160,0.515910,0.437314,0.078596,0.474835,0.561048,0.762528,0.614447,0.558673,0.733204,0.700830,0.688575,0.523216,0.444014,0.079202,0.463693,0.551904,0.757822,0.607970,0.550225,0.737268,0.693130,0.685408,0.405976
101,0.00000160,0.511054,0.433030,0.078024,0.478081,0.562004,0.771012,0.617906,0.561377,0.733999,0.706417,0.691808,0.521807,0.442834,0.078973,0.465311,0.557012,0.758162,0.610286,0.549403,0.735606,0.693056,0.685819,0.401673
102,0.00000160,0.521812,0.442227,0.079584,0.467987,0.555317,0.758437,0.608433,0.550263,0.724837,0.695430,0.681137,0.521846,0.442874,0.078973,0.465474,0.558756,0.757728,0.610138,0.550167,0.736470,0.694821,0.686251,0.402047
