Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
57,0.00004000,0.552068,0.468579,0.083489,0.439211,0.523075,0.741964,0.579326,0.524903,0.693128,0.681445,0.657436,0.528788,0.448337,0.080452,0.453289,0.531074,0.773378,0.597923,0.546021,0.709486,0.710848,0.681206,0.380440
58,0.00004000,0.556626,0.472555,0.084071,0.437561,0.524773,0.730314,0.576630,0.521618,0.692779,0.674726,0.653480,0.530943,0.449984,0.080958,0.452616,0.532435,0.770701,0.597549,0.541913,0.702008,0.712689,0.677994,0.372744
59,0.00004000,0.556326,0.472115,0.084212,0.436011,0.526531,0.737958,0.578213,0.519987,0.695210,0.681687,0.655659,0.528157,0.447893,0.080264,0.455742,0.534274,0.770756,0.599632,0.547663,0.706244,0.715750,0.682723,0.376753
60,0.00004000,0.553858,0.469915,0.083943,0.438875,0.526130,0.736243,0.579644,0.521218,0.691598,0.678680,0.654919,0.526418,0.446116,0.080303,0.452181,0.522377,0.784295,0.596838,0.551846,0.695294,0.733827,0.686303,0.377966
61,0.00004000,0.552319,0.468840,0.083479,0.438728,0.521796,0.737451,0.578009,0.526355,0.689515,0.686219,0.657675,0.527170,0.446875,0.080295,0.456792,0.536602,0.769838,0.601023,0.549540,0.704727,0.722068,0.684730,0.381547
62,0.00004000,0.550132,0.467039,0.083093,0.441219,0.527387,0.743201,0.582478,0.524336,0.695003,0.684563,0.659152,0.530060,0.449465,0.080595,0.453293,0.531723,0.769530,0.597330,0.546530,0.704205,0.715496,0.681497,0.376439
63,0.00004000,0.556075,0.472404,0.083671,0.435783,0.521817,0.741410,0.576108,0.521812,0.688988,0.686436,0.655526,0.526856,0.446409,0.080447,0.448732,0.516377,0.793046,0.594871,0.550517,0.683037,0.749585,0.686654,0.350766
64,0.00004000,0.552013,0.468652,0.083360,0.438108,0.522637,0.743211,0.578648,0.519994,0.689433,0.684102,0.654949,0.526627,0.446548,0.080079,0.456494,0.535192,0.774222,0.600662,0.546780,0.706324,0.716843,0.682353,0.377580
65,0.00004000,0.548833,0.465695,0.083138,0.444034,0.535333,0.735691,0.584917,0.526931,0.701529,0.679733,0.660335,0.530226,0.449691,0.080534,0.454881,0.536828,0.765456,0.598773,0.546686,0.707798,0.713935,0.681482,0.381927
66,0.00004000,0.550336,0.467357,0.082979,0.440797,0.524496,0.739504,0.580691,0.524398,0.690712,0.682200,0.656774,0.528449,0.448118,0.080330,0.453721,0.531777,0.772929,0.598476,0.546185,0.702695,0.718385,0.681748,0.381497
67,0.00000800,0.542093,0.459638,0.082455,0.446922,0.526913,0.753489,0.587376,0.532788,0.695425,0.692027,0.664855,0.529368,0.448828,0.080540,0.454437,0.533722,0.768440,0.598443,0.544033,0.706625,0.708632,0.679061,0.379398
68,0.00000800,0.552513,0.468919,0.083594,0.438613,0.524979,0.740529,0.579357,0.519413,0.689762,0.682024,0.654240,0.527611,0.447466,0.080145,0.452166,0.525955,0.778866,0.597011,0.548711,0.698588,0.725430,0.683723,0.367336
69,0.00000800,0.547610,0.464657,0.082954,0.441652,0.525578,0.746834,0.581955,0.526765,0.695088,0.687444,0.659623,0.528036,0.447793,0.080243,0.460092,0.546924,0.757434,0.603420,0.544075,0.720202,0.694445,0.678786,0.389353
70,0.00000800,0.545604,0.463357,0.082247,0.443296,0.524959,0.748644,0.584572,0.531412,0.694980,0.690856,0.664712,0.529058,0.448825,0.080232,0.451975,0.527020,0.774910,0.596256,0.548966,0.701054,0.723411,0.683749,0.363253
71,0.00000800,0.549570,0.466497,0.083073,0.443258,0.532551,0.740003,0.583513,0.530910,0.700892,0.688771,0.662569,0.528440,0.448048,0.080392,0.455199,0.534651,0.769908,0.599313,0.546719,0.705680,0.715696,0.681791,0.375305
72,0.00000800,0.551697,0.468476,0.083221,0.440705,0.527980,0.737407,0.580921,0.521705,0.692832,0.680177,0.655883,0.528783,0.448476,0.080307,0.455004,0.533420,0.769920,0.598747,0.545940,0.705000,0.714027,0.680760,0.374629
73,0.00000160,0.550044,0.466881,0.083162,0.440866,0.525405,0.744923,0.581253,0.523808,0.690230,0.686409,0.657609,0.529425,0.448981,0.080444,0.453854,0.533073,0.770418,0.598018,0.544729,0.706314,0.711754,0.679705,0.375609
74,0.00000160,0.551359,0.468146,0.083213,0.442200,0.529642,0.737805,0.582042,0.527831,0.696775,0.686384,0.660332,0.530167,0.449584,0.080583,0.453090,0.531805,0.770451,0.597189,0.545261,0.702714,0.716007,0.679988,0.372275
75,0.00000160,0.551384,0.467943,0.083440,0.441350,0.528192,0.738489,0.580531,0.522400,0.691793,0.682076,0.655826,0.528624,0.448233,0.080392,0.455418,0.535679,0.769508,0.599319,0.545097,0.707049,0.711395,0.680054,0.377973
76,0.00000160,0.546358,0.463824,0.082534,0.443084,0.524557,0.747125,0.583863,0.529443,0.694471,0.688819,0.662194,0.529471,0.449133,0.080338,0.453224,0.530918,0.771789,0.597003,0.547478,0.705014,0.717188,0.682011,0.372776
77,0.00000160,0.543306,0.461183,0.082123,0.446962,0.531704,0.749750,0.587907,0.533093,0.700685,0.693543,0.666476,0.528836,0.448547,0.080290,0.451344,0.524395,0.778068,0.595445,0.549552,0.698929,0.726810,0.683932,0.367567
78,0.00000160,0.546006,0.463468,0.082538,0.445447,0.530034,0.744586,0.585407,0.531291,0.699060,0.689604,0.663523,0.526561,0.446493,0.080068,0.455956,0.532637,0.774787,0.599699,0.549365,0.704782,0.720061,0.683731,0.372582
79,0.00000032,0.546285,0.463522,0.082763,0.443510,0.527873,0.745587,0.584265,0.529814,0.697884,0.689828,0.663019,0.528361,0.447927,0.080434,0.453817,0.529978,0.774893,0.597882,0.547266,0.701093,0.720374,0.681866,0.373952
80,0.00000032,0.544823,0.462534,0.082289,0.444089,0.526181,0.749173,0.583998,0.530735,0.693447,0.693255,0.662368,0.528401,0.448078,0.080322,0.455858,0.535771,0.769156,0.599546,0.545734,0.710484,0.708605,0.680506,0.373102
81,0.00000032,0.547534,0.464873,0.082661,0.443026,0.527333,0.746113,0.584334,0.529283,0.697949,0.688609,0.663110,0.527378,0.447138,0.080240,0.452642,0.525045,0.780051,0.596816,0.548660,0.699960,0.724281,0.683338,0.372117
